geography,Ethnic Group,Religion,area code,area name,Counts
AL - St Albans,All categories: Ethnic group, All categories: Religion,AL , St Albans,250427
B - Birmingham,All categories: Ethnic group, All categories: Religion,B , Birmingham,1904658
BA - Bath,All categories: Ethnic group, All categories: Religion,BA , Bath,434166
BB - Blackburn,All categories: Ethnic group, All categories: Religion,BB , Blackburn,488917
BD - Bradford,All categories: Ethnic group, All categories: Religion,BD , Bradford,578336
BH - Bournemouth,All categories: Ethnic group, All categories: Religion,BH , Bournemouth,551987
BL - Bolton,All categories: Ethnic group, All categories: Religion,BL , Bolton,380259
BN - Brighton,All categories: Ethnic group, All categories: Religion,BN , Brighton,802831
BR - Bromley,All categories: Ethnic group, All categories: Religion,BR , Bromley,299293
BS - Bristol,All categories: Ethnic group, All categories: Religion,BS , Bristol,940241
CA - Carlisle,All categories: Ethnic group, All categories: Religion,CA , Carlisle,318244
CB - Cambridge,All categories: Ethnic group, All categories: Religion,CB , Cambridge,421467
CH - Chester,All categories: Ethnic group, All categories: Religion,CH , Chester,659743
CM - Chelmsford,All categories: Ethnic group, All categories: Religion,CM , Chelmsford,653492
CO - Colchester,All categories: Ethnic group, All categories: Religion,CO , Colchester,411418
CR - Croydon,All categories: Ethnic group, All categories: Religion,CR , Croydon,405982
CT - Canterbury,All categories: Ethnic group, All categories: Religion,CT , Canterbury,482504
CV - Coventry,All categories: Ethnic group, All categories: Religion,CV , Coventry,821807
CW - Crewe,All categories: Ethnic group, All categories: Religion,CW , Crewe,309489
DA - Dartford,All categories: Ethnic group, All categories: Religion,DA , Dartford,430560
DE - Derby,All categories: Ethnic group, All categories: Religion,DE , Derby,730620
DH - Durham,All categories: Ethnic group, All categories: Religion,DH , Durham,309211
DL - Darlington,All categories: Ethnic group, All categories: Religion,DL , Darlington,360975
DN - Doncaster,All categories: Ethnic group, All categories: Religion,DN , Doncaster,755713
DT - Dorchester,All categories: Ethnic group, All categories: Religion,DT , Dorchester,213203
DY - Dudley,All categories: Ethnic group, All categories: Religion,DY , Dudley,410598
